"tract","Name","Household_Income_rP_gM_pall"
24005403803,"Pikesville, MD",83047
24005490400,"Towson, MD",79917
24005490500,"Towson, MD",78723
24510271501,"Mount Washington, Baltimore, MD",72737
24005403500,"Pikesville, MD",72087
24005491000,"Baltimore, MD",68944
24005403601,"Baltimore, MD",68817
24510271200,"Homeland, Baltimore, MD",66047
24510271300,"Roland Park, Baltimore, MD",63200
24005400400,"Catonsville, MD",63056
24510271400,"Evergreen, Baltimore, MD",62346
24005490603,"Baltimore, MD",61070
24027601104,"Ellicott City, MD",60391
24005490601,"Baltimore, MD",59586
24510120100,"Tuscany - Canterbury, Baltimore, MD",59057
24003750400,"Linthicum Heights, MD",58628
24510271102,"Mid-Charles, Baltimore, MD",57340
24005430600,"Relay, Halethorpe, MD",57254
24005491300,"Baltimore, MD",56369
24005411307,"Nottingham, MD",55466
24005440500,"Nottingham, MD",55357
24005440100,"Baltimore, MD",55173
24005411306,"Nottingham, MD",54795
24510020300,"Fells Point, Baltimore, MD",54366
24005491100,"Baltimore, MD",53774
24005490602,"Baltimore, MD",53536
24005401000,"Catonsville, MD",53452
24510240200,"Riverside, Baltimore, MD",53249
24510272005,"Cross Country, Baltimore, MD",53154
24005403602,"Baltimore, MD",53127
24005492002,"Parkville, MD",52661
24005420702,"Dundalk, MD",52639
24510220100,"Baltimore, MD",51723
24005492001,"Parkville, MD",51692
24005440600,"Rosedale, MD",51283
24005492101,"Parkville, MD",50645
24510120202,"Baltimore, MD",50132
24005400100,"Catonsville, MD",49717
24005451900,"Edgemere, MD",49707
24005451200,"Middle River, MD",48956
24003751200,"Linthicum Heights, MD",48620
24005441101,"Rosedale, MD",48548
24005491500,"Parkville, MD",48508
24005420500,"Baltimore, MD",48336
24003750801,"Glen Burnie, MD",48282
24005403401,"Pikesville, MD",48255
24027601201,"Elkridge, MD",48126
24005440200,"Nottingham, MD",47935
24005451000,"Essex, MD",47793
24005440800,"Rosedale, MD",47705
24005440400,"Baltimore, MD",47613
24005400200,"Catonsville, MD",47598
24005420200,"Dundalk, MD",47038
24005430700,"Halethorpe, MD",46943
24003750300,"Linthicum Heights, MD",46708
24005411407,"Parkville, MD",46692
24005452100,"Sparrows Point, MD",46518
24003750804,"Glen Burnie, MD",46147
24005430400,"Halethorpe, MD",46037
24005451701,"Middle River, MD",46036
24510272004,"Cheswolde, Baltimore, MD",45875
24005440900,"Rosedale, MD",45293
24005450900,"Essex, MD",45034
24005451702,"Middle River, MD",44922
24005403300,"Lochearn, Pikesville, MD",44900
24005400702,"Baltimore, MD",44767
24005451600,"Middle River, MD",44261
24005441102,"Rosedale, MD",43997
24510270501,"Woodring, Baltimore, MD",43888
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",43795
24005450100,"Rosedale, MD",43755
24005411302,"White Marsh, MD",43750
24005430800,"Halethorpe, MD",43738
24005420600,"Baltimore, MD",43374
24005400701,"Catonsville, MD",43122
24510270703,"North Harford Road, Baltimore, MD",42864
24510271101,"Radnor - Winston, Baltimore, MD",42649
24005452400,"Dundalk, MD",42129
24005420303,"Dundalk, MD",41983
24005400800,"Catonsville, MD",41839
24005450300,"Essex, MD",41360
24005403402,"Pikesville, MD",41259
24003750202,"Brooklyn Park, MD",41250
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",41151
24510130805,"Cold Springs, Baltimore, MD",40856
24005420701,"Dundalk, MD",40679
24510270502,"North Harford Road, Baltimore, MD",40642
24005451802,"Middle River, MD",40516
24005420900,"Dundalk, MD",40457
24510272003,"Baltimore, MD",40318
24005440702,"Rosedale, MD",40305
24005421102,"Dundalk, MD",40280
24005420800,"Dundalk, MD",40192
24510270101,"Arcadia, Baltimore, MD",40039
24510261100,"Canton, Baltimore, MD",39929
24005450400,"Essex, MD",39830
24005492102,"Parkville, MD",39706
24005420402,"Dundalk, MD",39614
24005450200,"Essex, MD",39536
24003750203,"Baltimore, MD",39296
24510010100,"Canton, Baltimore, MD",39245
24510010400,"Canton, Baltimore, MD",38840
24005451300,"Middle River, MD",38692
24510240100,"Locust Point, Baltimore, MD",38644
24005401301,"Woodlawn, MD",37920
24510130700,"Hampden, Baltimore, MD",37716
24510250103,"Violetville, Baltimore, MD",37673
24510280403,"Westgate, Baltimore, MD",37470
24005420100,"Dundalk, MD",37463
24510270302,"Waltherson, Baltimore, MD",37361
24510270402,"Glenham-Belford, Baltimore, MD",37354
24005452000,"Sparrows Point, MD",36926
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",36878
24005452500,"Dundalk, MD",36870
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",36852
24005430900,"Baltimore, MD",36849
24005403100,"Gwynn Oak, Pikesville, MD",36629
24003751102,"Glen Burnie, MD",36626
24005440300,"Nottingham, MD",36594
24510260501,"Joseph Lee, Baltimore, MD",36568
24003750102,"Baltimore, MD",36411
24005451500,"Middle River, MD",36172
24005421200,"Dundalk, MD",36162
24510272007,"Fallstaff, Baltimore, MD",35913
24510240400,"Riverside Park, Baltimore, MD",35445
24510272006,"Glen, Baltimore, MD",35394
24005451100,"Essex, MD",35361
24003750201,"Brooklyn, Baltimore, MD",35338
24005400600,"Catonsville, MD",34819
24510120201,"Baltimore, MD",34639
24510270804,"Lake Walker, Baltimore, MD",34431
24510270200,"Lauraville, Baltimore, MD",34353
24005452300,"Baltimore, MD",34337
24005440701,"Rosedale, MD",34323
24005421101,"Baltimore, MD",34316
24510130600,"Hampden, Baltimore, MD",34238
24005420302,"Dundalk, MD",34207
24005451402,"Middle River, MD",34205
24005491402,"Parkville, MD",34124
24510010500,"Upper Fells Point, Baltimore, MD",34123
24005450501,"Essex, MD",33997
24510270301,"Lauraville, Baltimore, MD",33859
24510130804,"Hampden, Baltimore, MD",33801
24510250303,"Morrell Park, Baltimore, MD",33579
24510140100,"Bolton Hill, Baltimore, MD",33362
24510230200,"South Baltimore, Baltimore, MD",33158
24005421000,"Dundalk, MD",33140
24003750101,"Brooklyn Park, MD",32994
24510260401,"Armistead Gardens, Baltimore, MD",32899
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",32895
24005402403,"Gwynn Oak, Baltimore, MD",32850
24510260700,"Fifteenth Street, Baltimore, MD",32829
24003750803,"Glen Burnie, MD",32796
24510250206,"Morrell Park, Baltimore, MD",32777
24005492300,"Essex, MD",32708
24005403201,"Gwynn Oak, Lochearn, MD",32593
24005420401,"Dundalk, MD",32582
24510260605,"Medford - Broening, Baltimore, MD",31881
24005401102,"Gwynn Oak, Woodlawn, MD",31861
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",31558
24510130803,"Medfield, Baltimore, MD",31522
24510010200,"Patterson Park, Baltimore, MD",31503
24005401200,"Woodlawn, MD",31428
24510260900,"Baltimore, MD",31400
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",31296
24005451401,"Middle River, MD",31269
24005401101,"Woodlawn, MD",31221
24005420301,"Dundalk, MD",31119
24510260101,"Cedmont, Baltimore, MD",30998
24510040100,"Downtown, Baltimore, MD",30887
24510280401,"Baltimore, MD",30689
24510270102,"Waltherson, Baltimore, MD",30522
24510130806,"Woodberry, Baltimore, MD",30452
24005401302,"Gwynn Oak, Baltimore, MD",30383
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",30261
24510240300,"Riverside, Baltimore, MD",30178
24510030200,"Little Italy, Baltimore, MD",30095
24510010300,"Canton, Baltimore, MD",30028
24005450503,"Essex, MD",29876
24005441000,"Baltimore, MD",29579
24005402304,"Gwynn Oak, Baltimore, MD",29163
24510260800,"Baltimore Highlands, Baltimore, MD",29147
24510080101,"Belair - Edison, Baltimore, MD",29086
24005450800,"Essex, MD",28748
24510270903,"Hillen, Baltimore, MD",28657
24510250401,"Brooklyn, Baltimore, MD",28532
24510260102,"Frankford, Baltimore, MD",28488
24510271900,"Glen, Baltimore, MD",28383
24510270401,"Glenham-Belford, Baltimore, MD",28337
24005450504,"Essex, MD",27632
24510260201,"Frankford, Baltimore, MD",27555
24510230300,"South Baltimore, Baltimore, MD",27456
24005402305,"Lochearn, Pikesville, MD",27436
24005403202,"Gwynn Oak, Baltimore, MD",27334
24510020100,"Upper Fells Point, Baltimore, MD",27226
24510020200,"Upper Fells Point, Baltimore, MD",27135
24510270902,"Perring Loch, Baltimore, MD",27125
24510270802,"Ramblewood, Baltimore, MD",27093
24005402404,"Gwynn Oak, Lochearn, MD",27010
24005491401,"Parkville, MD",27007
24510250500,"Curtis Bay, Baltimore, MD",26602
24510151100,"East Arlington, Baltimore, MD",26434
24510270801,"Idlewood, Baltimore, MD",26277
24510270803,"Loch Raven, Baltimore, MD",26254
24510250101,"Beechfield, Baltimore, MD",26157
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",25900
24510260302,"Belair - Edison, Baltimore, MD",25810
24005402405,"Gwynn Oak, Baltimore, MD",25753
24510250402,"Brooklyn, Baltimore, MD",25688
24510150702,"Walbrook, Baltimore, MD",25469
24510270805,"Mid-Govans, Baltimore, MD",25045
24510270901,"New Northwood, Baltimore, MD",25020
24510280301,"Gwynn Oak, Baltimore, MD",25007
24510280200,"Gwynn Oak, Baltimore, MD",24854
24510150701,"Hanlon Longwood, Baltimore, MD",24465
24510261000,"Patterson Park, Baltimore, MD",24304
24005421300,"Dundalk, MD",23876
24510200800,"Irvington, Baltimore, MD",23853
24510250102,"Yale Heights, Baltimore, MD",23758
24510250205,"Lakeland, Baltimore, MD",23557
24510120700,"Remington, Baltimore, MD",23274
24510280404,"Irvington, Baltimore, MD",23172
24510150800,"Garwyn Oaks, Baltimore, MD",23051
24510190200,"Pratt Monroe, Baltimore, MD",22904
24510210200,"Pigtown, Baltimore, MD",22824
24510150900,"Windsor Hills, Baltimore, MD",22619
24510110100,"Downtown, Baltimore, MD",22499
24510260404,"Baltimore Highlands, Baltimore, MD",22330
24510110200,"Downtown, Baltimore, MD",22321
24510090500,"Better Waverly, Baltimore, MD",22060
24510200701,"Allendale, Baltimore, MD",21947
24510260301,"Belair - Edison, Baltimore, MD",21849
24510260202,"Parkside, Baltimore, MD",21811
24510180300,"Hollins Market, Baltimore, MD",21798
24510120600,"Old Goucher, Baltimore, MD",21715
24510271002,"Winston - Govans, Baltimore, MD",21603
24510280302,"West Forest Park, Baltimore, MD",21326
24510090400,"Better Waverly, Baltimore, MD",21227
24510271700,"Central Park Heights, Baltimore, MD",21045
24510170100,"Downtown, Baltimore, MD",21013
24510260203,"Frankford, Baltimore, MD",20857
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",20844
24510280402,"Rognel Heights, Baltimore, MD",20709
24510151000,"Dorchester, Baltimore, MD",20591
24510060200,"Baltimore, MD",20573
24510070100,"Baltimore, MD",20560
24510260402,"Frankford, Baltimore, MD",20549
24510271801,"Arlington, Baltimore, MD",20547
24510250600,"Brooklyn, Baltimore, MD",20534
24510280102,"Gwynn Oak, Baltimore, MD",20521
24510271600,"Edgecomb, Baltimore, MD",20128
24510210100,"Pigtown, Baltimore, MD",19883
24510280101,"Reisterstown Station, Baltimore, MD",19832
24510080400,"Broadway East, Baltimore, MD",19776
24510060400,"Baltimore, MD",19663
24510040200,"Downtown, Baltimore, MD",19628
24510250207,"Cherry Hill, Baltimore, MD",19353
24510120400,"Barclay, Baltimore, MD",19281
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",19242
24510200100,"Lexington, Baltimore, MD",19232
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",19187
24510150500,"Burleith-Leighton, Baltimore, MD",19179
24510150200,"Sandtown-Winchester, Baltimore, MD",19120
24510230100,"Baltimore, MD",19016
24510160600,"Mosher, Baltimore, MD",18877
24510151300,"Central Park Heights, Baltimore, MD",18870
24510200500,"Mill Hill, Baltimore, MD",18848
24510200300,"Bentalou-Smallwood, Baltimore, MD",18814
24510160802,"Edmondson, Baltimore, MD",18813
24510200600,"Baltimore, MD",18730
24510180200,"Poppleton, Baltimore, MD",18707
24510080500,"Darley Park, Baltimore, MD",18699
24510130400,"Woodbrook, Baltimore, MD",18557
24510130300,"Penn North, Baltimore, MD",18539
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",18445
24510120300,"Harwood, Baltimore, MD",18274
24510150300,"Coppin Heights, Baltimore, MD",18230
24510080200,"Broadway East, Baltimore, MD",18229
24510160801,"Edmondson, Baltimore, MD",18212
24510260403,"Cedonia, Baltimore, MD",18166
24510060300,"Butchers Hill, Baltimore, MD",18117
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",17915
24510271802,"Langston Hughes, Baltimore, MD",17788
24510160700,"Rosemont, Baltimore, MD",17781
24510090800,"East Baltimore Midway, Baltimore, MD",17762
24510080102,"Belair - Edison, Baltimore, MD",17721
24510170300,"Upton, Baltimore, MD",17641
24510151200,"Park Circle, Baltimore, MD",17501
