"tract","Name","Household_Income_rP_gP_pall"
6037262301,"Los Angeles, CA",85044
6037265100,"Westwood, Los Angeles, CA",81626
6037262302,"Brentwood, Los Angeles, CA",77935
6037265420,"Westwood, Los Angeles, CA",76807
6037139801,"Tarzana, Los Angeles, CA",75027
6037261200,"Beverly Glen, Los Angeles, CA",74235
6037139802,"Tarzana, Los Angeles, CA",73614
6037139702,"Encino, Los Angeles, CA",71582
6037620301,"Manhattan Beach, CA",71516
6037464100,"San Marino, CA",71481
6037460800,"North Arroyo, Pasadena, CA",71100
6037700600,"Beverly Hills, CA",70857
6037262601,"Pacific Palisades, Los Angeles, CA",69838
6037141500,"Encino, Los Angeles, CA",69587
6037701201,"North of Montana, Santa Monica, CA",69157
6037261102,"Beverly Hills, CA",69112
6037194101,"Central LA, Los Angeles, CA",68206
6037139703,"Encino, Los Angeles, CA",67515
6037700700,"The Flats, Beverly Hills, CA",67429
6037262400,"Brentwood, Los Angeles, CA",67339
6037464200,"San Marino, CA",66926
6037300901,"Chevy Chase, Glendale, CA",66355
6037269500,"Beverlywood, Los Angeles, CA",65851
6037620305,"Manhattan Beach, CA",65798
6037262704,"Pacific Palisades, Los Angeles, CA",65677
6037269000,"Cheviot Hills, Los Angeles, CA",65609
6037189701,"Central LA, Los Angeles, CA",65570
6037276601,"Playa del Rey, Los Angeles, CA",65563
6037463800,"Northeast Los Angeles, Pasadena, CA",65309
6037262802,"Pacific Palisades, Santa Monica, CA",65034
6037262303,"Brentwood, Los Angeles, CA",63894
6037211000,"Central LA, Los Angeles, CA",63504
6037980024,"Encino, Los Angeles, CA",63396
6037271500,"Mar Vista, Los Angeles, CA",63305
6037701202,"Wilshire Montana, Santa Monica, CA",63153
6037265601,"Westwood, Los Angeles, CA",62796
6037264000,"Brentwood, Los Angeles, CA",62726
6037262501,"Pacific Palisades, Los Angeles, CA",62721
6037214100,"Central LA, Los Angeles, CA",62639
6037463900,"Northeast Los Angeles, Pasadena, CA",62543
6037480002,"San Gabriel, CA",62517
6037701304,"North of Montana, Santa Monica, CA",62470
6037480201,"San Gabriel, CA",62468
6037139701,"Encino, Los Angeles, CA",62369
6037214700,"Beverly Grove, Los Angeles, CA",62239
6037141400,"Encino, Los Angeles, CA",62035
6037143902,"Studio City, Los Angeles, CA",61785
6037278102,"Playa del Rey, Los Angeles, CA",61671
6037269300,"Cheviot Hills, Los Angeles, CA",61600
6037701601,"Northeast, Santa Monica, CA",61555
6037141600,"Sherman Oaks, Los Angeles, CA",61390
6037265510,"Westwood, Los Angeles, CA",61374
6037480500,"South Pasadena, CA",61073
6037300902,"Glenoaks Canyon, Glendale, CA",60985
6037464000,"Pasadena, CA",60875
6037188202,"Central LA, Los Angeles, CA",60870
6037139600,"Encino, Los Angeles, CA",60820
6037701000,"Beverly Hills, CA",60771
6037271600,"Mar Vista, Los Angeles, CA",60407
6037461700,"North Arroyo, Pasadena, CA",60383
6037265202,"Westwood, Los Angeles, CA",60008
6037265410,"Los Angeles, CA",59944
6037265700,"Westwood, Los Angeles, CA",59718
6037141202,"Sherman Oaks, Los Angeles, CA",59589
6037267100,"West Los Angeles, Los Angeles, CA",59534
6037530005,"South Montebello, Montebello, CA",59514
6037124000,"Valley Village, Los Angeles, CA",59445
6037482002,"Monterey Park, CA",58931
6037265201,"Westwood, Los Angeles, CA",58910
6037265602,"Westwood, Los Angeles, CA",58898
6037262604,"Pacific Palisades, Los Angeles, CA",58866
6037480702,"South Pasadena, CA",58826
6037276400,"Westchester, Los Angeles, CA",58728
6037620400,"Manhattan Beach, CA",58721
6037143602,"Studio City, Los Angeles, CA",58600
6037700801,"Beverly Hills, CA",58572
6037700901,"Central LA, Beverly Hills, CA",58571
6037262100,"Bel Air, Los Angeles, CA",58555
6037482001,"Monterey Park, CA",58068
6037267200,"West Los Angeles, Los Angeles, CA",57675
6037262200,"Bel Air, Los Angeles, CA",57651
6037274202,"Venice, Marina del Rey, CA",57459
6037194300,"Central LA, Los Angeles, CA",57450
6037124700,"Van Nuys, Los Angeles, CA",57393
6037194102,"Central LA, Los Angeles, CA",57268
6037700802,"Beverly Hills, CA",57196
6037189300,"Central LA, Los Angeles, CA",56588
6037143901,"Studio City, Los Angeles, CA",56577
6037463700,"South Arroyo, Pasadena, CA",56425
6037262706,"Pacific Palisades, Los Angeles, CA",56417
