"tract","Name","Household_Income_rP_gM_pall"
6037139802,"Tarzana, Los Angeles, CA",79158
6037265100,"Westwood, Los Angeles, CA",78734
6037262302,"Brentwood, Los Angeles, CA",75080
6037139801,"Tarzana, Los Angeles, CA",74256
6037261200,"Beverly Glen, Los Angeles, CA",73960
6037262704,"Pacific Palisades, Los Angeles, CA",72924
6037265510,"Westwood, Los Angeles, CA",71968
6037460800,"North Arroyo, Pasadena, CA",71129
6037265201,"Westwood, Los Angeles, CA",70341
6037262301,"Los Angeles, CA",69978
6037620301,"Manhattan Beach, CA",69671
6037700700,"The Flats, Beverly Hills, CA",68383
6037276601,"Playa del Rey, Los Angeles, CA",68046
6037701201,"North of Montana, Santa Monica, CA",67161
6037269500,"Beverlywood, Los Angeles, CA",66297
6037700600,"Beverly Hills, CA",66274
6037464100,"San Marino, CA",65979
6037262400,"Brentwood, Los Angeles, CA",65273
6037265420,"Westwood, Los Angeles, CA",64847
6037464200,"San Marino, CA",64505
6037265202,"Westwood, Los Angeles, CA",64117
6037300902,"Glenoaks Canyon, Glendale, CA",63666
6037141500,"Encino, Los Angeles, CA",63281
6037262706,"Pacific Palisades, Los Angeles, CA",62901
6037189701,"Central LA, Los Angeles, CA",62448
6037214100,"Central LA, Los Angeles, CA",62367
6037620305,"Manhattan Beach, CA",62130
6037701304,"North of Montana, Santa Monica, CA",62113
6037139600,"Encino, Los Angeles, CA",61999
6037300901,"Chevy Chase, Glendale, CA",61527
6037139702,"Encino, Los Angeles, CA",61508
6037261102,"Beverly Hills, CA",61490
6037262601,"Pacific Palisades, Los Angeles, CA",61474
6037139703,"Encino, Los Angeles, CA",61221
6037143602,"Studio City, Los Angeles, CA",61028
6037267902,"Rancho Park, Los Angeles, CA",61002
6037463800,"Northeast Los Angeles, Pasadena, CA",60552
6037264000,"Brentwood, Los Angeles, CA",60512
6037701000,"Beverly Hills, CA",60401
6037269000,"Cheviot Hills, Los Angeles, CA",60306
6037701202,"Wilshire Montana, Santa Monica, CA",60293
6037463900,"Northeast Los Angeles, Pasadena, CA",59968
6037211000,"Central LA, Los Angeles, CA",59808
6037143902,"Studio City, Los Angeles, CA",59680
6037262303,"Brentwood, Los Angeles, CA",59569
