"tract","Name","Incarceration_Rate_rP_gP_p25"
6037980019,"Pacific Palisades, Los Angeles, CA",0.1136
6037194200,"Central LA, Los Angeles, CA",0.1111
6037209200,"Central LA, Los Angeles, CA",0.0933
6037532400,"Vernon, CA",0.0853
6037242100,"South Los Angeles, Los Angeles, CA",0.0755
6037600400,"South Los Angeles, Los Angeles, CA",0.0701
6037241002,"South Los Angeles, Los Angeles, CA",0.0673
6037189903,"Central LA, Los Angeles, CA",0.0641
6037242600,"South Los Angeles, Los Angeles, CA",0.0627
6037208301,"Central LA, Los Angeles, CA",0.0552
6037208802,"Central LA, Los Angeles, CA",0.0545
6037209403,"Central LA, Los Angeles, CA",0.0526
6037207302,"Central LA, Los Angeles, CA",0.0521
6037602600,"Gardena, CA",0.0512
6037185204,"Northeast Los Angeles, Los Angeles, CA",0.0496
6037228210,"South Los Angeles, Los Angeles, CA",0.0493
6037600501,"Inglewood, CA",0.0489
6037602506,"Hawthorne, CA",0.0482
6037234902,"Park Mesa Heights, Los Angeles, CA",0.0475
6037238320,"South Figueroa Corridor, Los Angeles, CA",0.0475
6037224200,"Central LA, Los Angeles, CA",0.046
6037240401,"South Los Angeles, Los Angeles, CA",0.0458
6037238000,"South Los Angeles, Los Angeles, CA",0.0457
6037237401,"South Los Angeles, Los Angeles, CA",0.0457
6037463700,"South Arroyo, Pasadena, CA",0.0457
6037600202,"South Los Angeles, Los Angeles, CA",0.0452
6037237300,"South Los Angeles, Los Angeles, CA",0.0449
6037240200,"South Los Angeles, Los Angeles, CA",0.0447
6037229410,"South Los Angeles, Los Angeles, CA",0.0447
6037541001,"Gardena, CA",0.0441
6037600704,"Morningside Park, Inglewood, CA",0.0427
6037209402,"Central LA, Los Angeles, CA",0.0422
6037243100,"South Los Angeles, Los Angeles, CA",0.0415
6037143700,"Studio City, Los Angeles, CA",0.0414
6037601302,"Inglewood, CA",0.0414
6037207101,"Central LA, Los Angeles, CA",0.0414
6037241110,"South Los Angeles, Los Angeles, CA",0.0411
6037236400,"Baldwin Hills, Los Angeles, CA",0.0407
6037240900,"South Los Angeles, Los Angeles, CA",0.0404
6037600601,"Inglewood, CA",0.0402
6037204200,"Boyle Heights, Los Angeles, CA",0.0397
6037237201,"South Los Angeles, Los Angeles, CA",0.0395
6037242300,"South Los Angeles, Los Angeles, CA",0.0392
6037239601,"South Los Angeles, Los Angeles, CA",0.039
6037463300,"Pasadena, CA",0.0389
6037189400,"Central LA, Los Angeles, CA",0.0389
6037541606,"Compton, CA",0.0387
6037212501,"Central LA, Los Angeles, CA",0.0382
6037221820,"Jefferson, Los Angeles, CA",0.0379
6037240402,"South Los Angeles, Los Angeles, CA",0.0374
6037602700,"Hawthorne, CA",0.0371
6037232500,"South Los Angeles, Los Angeles, CA",0.0364
6037239201,"South Los Angeles, Los Angeles, CA",0.0364
6037462202,"Pasadena, CA",0.0363
6037235100,"Park Mesa Heights, Los Angeles, CA",0.0363
6037264000,"Brentwood, Los Angeles, CA",0.0362
6037186404,"Glassell Park, Los Angeles, CA",0.036
6037212420,"Central LA, Los Angeles, CA",0.0358
6037600201,"South Los Angeles, Los Angeles, CA",0.0358
6037234502,"South Los Angeles, Los Angeles, CA",0.0356
6037264103,"Brentwood, Los Angeles, CA",0.0356
6037240500,"South Los Angeles, Los Angeles, CA",0.0353
6037234700,"Park Mesa Heights, Los Angeles, CA",0.0352
6037552100,"Norwalk, CA",0.035
6037601401,"Inglewood, CA",0.035
6037601303,"Inglewood, CA",0.0347
6037186301,"Atwater Village, Los Angeles, CA",0.0346
6037188100,"Atwater Village, Los Angeles, CA",0.0345
6037232600,"South Los Angeles, Los Angeles, CA",0.0343
6037530301,"East Los Angeles, CA",0.0343
6037602505,"Hawthorne, CA",0.0343
6037602507,"Hawthorne, CA",0.0343
6037463900,"Northeast Los Angeles, Pasadena, CA",0.0339
6037235201,"Park Mesa Heights, Los Angeles, CA",0.0333
6037228600,"South Los Angeles, Los Angeles, CA",0.0333
6037207301,"Central LA, Los Angeles, CA",0.0332
6037540700,"South Los Angeles, Los Angeles, CA",0.033
6037191710,"Central LA, Los Angeles, CA",0.033
6037550202,"Norwalk, CA",0.0329
6037270200,"Palms, Los Angeles, CA",0.0328
6037228900,"Central Alameda, Los Angeles, CA",0.0327
