"tract","Name","Household_Income_rP_gF_pall"
6037262301,"Los Angeles, CA",99044
6037265420,"Westwood, Los Angeles, CA",87702
6037265100,"Westwood, Los Angeles, CA",84189
6037139702,"Encino, Los Angeles, CA",82871
6037262302,"Brentwood, Los Angeles, CA",81350
6037194101,"Central LA, Los Angeles, CA",80687
6037262601,"Pacific Palisades, Los Angeles, CA",80151
6037464100,"San Marino, CA",77979
6037261102,"Beverly Hills, CA",77660
6037141500,"Encino, Los Angeles, CA",77266
6037700600,"Beverly Hills, CA",75692
6037139801,"Tarzana, Los Angeles, CA",75578
6037271500,"Mar Vista, Los Angeles, CA",75521
6037261200,"Beverly Glen, Los Angeles, CA",74950
6037139703,"Encino, Los Angeles, CA",73883
6037262501,"Pacific Palisades, Los Angeles, CA",73878
6037214700,"Beverly Grove, Los Angeles, CA",73735
6037620301,"Manhattan Beach, CA",73405
6037980024,"Encino, Los Angeles, CA",72292
6037480002,"San Gabriel, CA",71751
6037701201,"North of Montana, Santa Monica, CA",71569
6037269000,"Cheviot Hills, Los Angeles, CA",71499
6037701601,"Northeast, Santa Monica, CA",71284
6037300901,"Chevy Chase, Glendale, CA",71141
6037460800,"North Arroyo, Pasadena, CA",71073
6037620305,"Manhattan Beach, CA",70697
6037262802,"Pacific Palisades, Santa Monica, CA",70119
6037265601,"Westwood, Los Angeles, CA",70062
6037141400,"Encino, Los Angeles, CA",70009
6037480201,"San Gabriel, CA",69842
6037464200,"San Marino, CA",69650
6037139701,"Encino, Los Angeles, CA",69317
6037463800,"Northeast Los Angeles, Pasadena, CA",69286
6037189300,"Central LA, Los Angeles, CA",69150
6037278102,"Playa del Rey, Los Angeles, CA",69036
6037262400,"Brentwood, Los Angeles, CA",68932
6037461700,"North Arroyo, Pasadena, CA",68785
6037700802,"Beverly Hills, CA",68650
6037139802,"Tarzana, Los Angeles, CA",68031
6037262303,"Brentwood, Los Angeles, CA",67994
6037267100,"West Los Angeles, Los Angeles, CA",67979
6037265410,"Los Angeles, CA",67766
6037189701,"Central LA, Los Angeles, CA",67676
6037480500,"South Pasadena, CA",67572
6037482002,"Monterey Park, CA",67420
6037211000,"Central LA, Los Angeles, CA",67066
6037700700,"The Flats, Beverly Hills, CA",66571
6037701202,"Wilshire Montana, Santa Monica, CA",66562
6037269300,"Cheviot Hills, Los Angeles, CA",66279
6037141202,"Sherman Oaks, Los Angeles, CA",65926
6037463900,"Northeast Los Angeles, Pasadena, CA",65715
6037269500,"Beverlywood, Los Angeles, CA",65665
6037264000,"Brentwood, Los Angeles, CA",65575
6037276500,"Westchester, Los Angeles, CA",65360
6037194102,"Central LA, Los Angeles, CA",65050
6037700801,"Beverly Hills, CA",64977
6037143400,"Studio City, Los Angeles, CA",64429
6037141600,"Sherman Oaks, Los Angeles, CA",64316
6037143902,"Studio City, Los Angeles, CA",64311
6037530005,"South Montebello, Montebello, CA",64257
6037265700,"Westwood, Los Angeles, CA",64207
6037143800,"Studio City, Los Angeles, CA",63973
6037274202,"Venice, Marina del Rey, CA",63761
6037480202,"San Gabriel, CA",63678
6037267200,"West Los Angeles, Los Angeles, CA",63317
6037124700,"Van Nuys, Los Angeles, CA",63215
6037271600,"Mar Vista, Los Angeles, CA",63189
6037276601,"Playa del Rey, Los Angeles, CA",63084
6037701304,"North of Montana, Santa Monica, CA",62859
6037214100,"Central LA, Los Angeles, CA",62855
6037464000,"Pasadena, CA",62688
6037188202,"Central LA, Los Angeles, CA",62685
6037264302,"Brentwood, Los Angeles, CA",62662
6037620400,"Manhattan Beach, CA",62640
6037214600,"Central LA, Los Angeles, CA",62522
6037481714,"Monterey Park, CA",62406
6037211701,"Central LA, Los Angeles, CA",62111
6037189902,"Central LA, Los Angeles, CA",61936
6037124000,"Valley Village, Los Angeles, CA",61795
6037700901,"Central LA, Beverly Hills, CA",61581
6037482600,"Garvey, Monterey Park, CA",61374
